"","Protection","Base","Cap","Fusion","GP1/2","GP1/Core","GP1/Head","HR2","Mucin","Unknown","Neut_VSV","unNeutFrac","Neut_micro","Neut_dVP30","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","IgG3","Human-IgG1","Mouse-IgG1","P1","P2","R1","R10","R11","R12","R2","R3","R4","R5","R6","R7","R8","R9","All","BDBV & RESTV","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","Marburg only","None","RESTV only","SUDV & RESTV","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_mono_SA","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","Escape Region: 10","Escape Region: 28","Escape Region: 48","Escape Region: Base","Escape Region: Cap","Escape Region: Fusion Loop","Escape Region: GP1 Core","Escape Region: Mucin","No Escape Mutants","Binding","No binding","Not done","Weak binding only","sGP.binderTRUE"
"105",0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,6.86,1000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,26.52,61.06,14.03,6.43,18.98,22.03,40.82,118.45,29.15,60.53,27.28,12.2,87.62,1.69,7.35,7.35,6.2,53.8,0.52,0.18,0.33,6.45,19.73,0.35,0.23,5.09,0.1,4.88,1.29,0.79,0.04,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"106",0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,227.8,24.46,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,34.32,45.16,11.04,6.56,19.49,24.89,46.02,316.69,36.83,66.9,15.5,17.6,91.06,5.93,16.36,16.36,1.04,64.82,1.05,0.13,1.74,3.36,8.84,1.13,0.29,2.14,0.22,4.49,6.39,1.55,2.82,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"107",0.2,0,0,0,1,0,0,0,0,0,0,0,0.11,0,9.22,1000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,27.13,58.05,5.5,5.99,16.88,26.06,41.76,239.34,21.37,54.56,33.26,12.18,87.65,1.72,9.21,9.21,4.66,49.38,0.52,0.05,0.66,4.8,27.51,0.09,0.15,2.83,0.22,6.3,2,0.68,0.14,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"108",0.3,0,1,0,0,0,0,0,0,0,0.6,0.87,0.92,0.69,18.82,2.29,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,32.4,60.42,7.13,6.74,18.59,34.31,39.09,298.07,30.51,60.7,24.06,15.24,81.83,2.73,11.22,11.22,10.91,49.13,0.65,0.35,0.35,4.67,17.99,0.08,0.63,3.77,0.32,5.67,4.36,0.9,0.22,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"109",0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,28.14,1000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,23.2,31.14,5.62,6.27,17.17,22.55,32.48,114.69,29.57,46.91,41.67,11.42,98.49,2.82,4.81,4.81,0.16,46.12,0.63,0.69,0.21,13.89,25.9,0.2,0.77,6.42,0.39,0.22,3.37,0.22,0.8,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"110",0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,7.39,1000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,21,42.29,6.16,6.29,17.29,23.38,35.18,150.31,30.02,46.37,39.82,13.81,97.02,2.15,7.26,7.26,0.61,45.2,0.56,1.24,0.35,12.64,24.38,0.51,0.71,6.89,0.17,0.33,5.71,0.45,0.26,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"111",0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,8.92,1000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,22.47,62.53,6.81,5.86,17.52,25.17,30.73,108.28,21.74,51.23,37.8,10.97,97.95,1.39,3.76,3.76,0.59,50.13,0.51,0.05,1.13,10.95,25.27,0.03,0.36,7.03,0.21,0.25,3.17,0.01,0.3,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"112",0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.14,462.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,30.74,53.27,6.57,6.21,18.07,23.74,37.06,194.5,22.14,33.63,48.38,17.99,98.56,2.69,3.41,3.41,0.62,32.42,0.59,0.04,0.32,12.49,34.48,0.14,0.91,14.31,0.41,0.23,2.27,0.24,0.54,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"113",0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,14.69,1.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,25.88,33.11,6.88,5.68,17.1,21.79,35.51,314.6,37.22,51.81,36.57,11.63,97.46,3.42,5.49,5.49,0.21,50.91,0.68,0.12,0.97,7.7,26.48,0.73,0.56,6.78,0.09,0.67,2,0.56,1.54,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"114",0,0,0,0,0,1,0,0,0,0,0,0,0,0,28.03,3.99,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,26.39,39.34,5.55,5.92,17.71,22.87,0,267.17,41.39,28.17,53.36,18.47,95.63,3.03,4.88,4.88,1.54,26.24,0.38,0.29,1.24,14.73,34.95,0.95,1.21,14.46,0.07,1.02,1.55,0.29,1.08,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"115",0.6,0,0,0,0,1,0,0,0,0,0,0,0.2,0,9,1.67,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,32.93,70.43,7.36,6.65,20.67,45.44,44.9,176.47,40.54,40.27,45.25,14.48,97.85,1.41,4.06,4.06,0.59,39.16,0.52,0.31,0.61,13.19,30.37,0.29,0.48,10.56,0.15,0.44,3.06,0.2,0.07,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"116",0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,30.27,2.81,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,30.36,55.23,6.2,5.83,16.96,45.51,35.11,182.67,30.36,48.26,38.34,13.4,98.13,1.8,4.98,4.98,0.08,47.53,0.65,0.44,0.9,9.55,26.52,0.44,0.49,8.55,0.3,0.19,4.01,0.27,0.08,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"117",0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,159.1,2.19,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,36.01,36.98,5.29,6.1,17.96,22.05,36.51,332.97,35.72,36.93,48.94,14.13,97.04,2.95,3.67,3.67,1.46,34.8,0.67,0.06,0.8,14.48,31.36,0.6,1.64,10.76,0.3,0.52,2.2,0.12,0.23,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"118",0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.47,0.82,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,35.49,49.09,4.7,5.85,16.3,43.06,40.18,288.35,79.07,35.22,47.4,17.38,98.82,2.34,3.25,3.25,0.3,34.25,0.67,0.23,0.22,13.5,32.38,0.18,0.89,13.91,0.39,0.25,2.43,0.18,0.21,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"119",0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.08,3.16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,30.71,65.49,4.56,6.04,17.35,53.33,33.81,290.04,63.03,37.04,32.9,30.06,92.27,3.09,24.7,24.7,0,36.78,0.26,4.53,1.12,8.47,16.33,1.84,0.62,7.01,0.18,0.31,20.52,1.78,0.25,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"120",0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,6.12,1000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,25.97,49.54,7.25,5.99,17.02,23.83,32.78,127.06,22.69,53.24,32.91,13.85,97.01,2.7,5.54,5.54,1.89,50.04,1.31,0.09,0.67,8.81,22.33,0.3,0.71,8.33,0.27,0.19,4.65,0.14,0.26,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"121",0.7,0,0,0,0,0,0,0,0,1,0,0,0,0,3.53,1000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,32.58,46.11,21.25,26.45,56.45,23.72,46.94,126.9,28.79,46.38,37.11,16.51,97.2,4.35,7.16,7.16,0.74,43.89,1.75,0.18,0.95,11.25,22.45,0.62,1.65,9.73,0.24,0.48,5.36,0.44,0.26,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"122",1,0,0,0,0,0,1,0,0,0,0.981,0.998,1,0.92,7.96,1.23,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,34.6,70.75,17,17.34,31.82,57.05,37.5,175.83,38.88,49.19,36.65,14.16,97.76,1.6,10.53,10.53,0.18,48.57,0.43,1.29,0.18,10.31,24.5,0.3,0.08,3.77,0.15,0.05,9.25,0.53,0.4,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"123",0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.89,3.06,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17.62,45.23,6.5,6.14,17.35,21.13,31.26,255.13,46.62,51.81,32.53,15.66,96.16,4.48,10.12,10.12,1.39,49.11,1.3,0.09,0.28,10.25,19.87,0.68,1.37,5.97,0.26,1.19,6.69,0.89,0.67,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"124",0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.05,1.11,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,26.58,55.87,6.21,5.71,16.67,23.35,34.19,179.22,32.7,40.81,42.65,16.54,96.51,4.38,7.27,7.27,0.88,38.34,1.58,0.83,0.88,12.31,26.99,0.27,1.36,9.13,0.41,0.47,5.51,0.43,0.6,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"125",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000,1000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,22.68,37.37,9.29,6.01,18.12,24.06,30.15,122.62,22.99,38.5,45.42,16.08,97.26,5.56,4.26,4.26,0.65,36.14,1.71,0.38,0.65,10.9,30.86,0.29,2.34,11.54,0.57,0.59,2.44,0.48,0.46,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"126",0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,217.1,107.1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,21.3,32.53,13,14.12,32.78,26.06,31.49,236.96,33,39.45,40.02,20.53,96.59,3.3,5.47,5.47,1.15,37.18,1.13,0.58,1.15,9.4,27.49,0.23,1.17,14.93,0.36,0.29,4.3,0.25,0.39,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"127",0.33,0,0,0,1,0,0,0,0,0,0,0,0.6,0,112.6,1000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25.59,32.98,6.78,6.24,17.83,27.21,33.95,164.93,32.11,26.69,44.29,29.02,98.97,6.75,4.55,4.55,0.32,24.88,1.49,0.09,0.32,14.61,25.53,0.2,3.54,23.79,0.88,0.25,3.26,0.05,0.79,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"128",0.2,0,0,0,0,1,0,0,0,0,0,0,0.02,0,6.31,2.16,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,32.16,33.21,7.29,6.08,18.97,25.7,31.15,190.27,38.48,54.26,33.79,11.94,97.33,6.01,6.13,6.13,0.4,50.9,2.96,0.29,1.1,10.65,19.5,0.38,1.87,5.84,0.36,0.68,4.24,0.2,0.62,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"129",0.1,0,0,0,0,1,0,0,0,0,0,0,0.03,0,7.99,8.04,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21.03,37.69,8.66,7.93,21.53,26.19,30.31,142.42,22.26,49.14,35.4,15.46,96.6,3.59,4.87,4.87,1.42,46.77,0.94,0.04,0.97,8.52,23.26,0.88,1.75,10.83,0.64,0.9,2.83,0.07,0.19,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"130",1,0,0,0,0,1,0,0,0,0,0.94,0.999,0.96,0.91,9.16,1.32,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,31.5,46.37,7.85,7.83,22.84,46.72,37.83,314.8,44.63,49.23,35.44,15.33,97.43,5.17,5.58,5.58,0.72,46.52,1.99,0.1,0.77,7.88,24.19,0.89,1.6,10.06,0.58,0.54,3.16,0.44,0.55,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"131",0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,136.3,14.06,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,23.27,40.77,12.18,13.45,30.5,27.94,41.51,197.39,38.1,57.71,26.13,16.16,95.15,4.88,10.92,10.92,1.12,54.43,2.16,0.43,1.12,4.97,18.17,0.38,1.07,5.31,0.31,1.02,8.18,1.16,0.18,0,0,0,0,0,0,0,0,1,1,0,0,0,1
