"","Protection","Base","Cap","Fusion","GP1/2","GP1/Core","GP1/Head","HR2","Mucin","Unknown","Neut_VSV","unNeutFrac","Neut_micro","Neut_dVP30","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","IgG3","HumanIgG1","MouseIgG1","P1","P2","R1","R10","R11","R12","R2","R3","R4","R5","R6","R7","R8","R9","All","BDBV & RESTV","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","Marburg only","None","RESTV only","SUDV & RESTV","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_mono_SA","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","Escape Region: 10","Escape Region: 28","Escape Region: 48","Escape Region: Base","Escape Region: Cap","Escape Region: Fusion Loop","Escape Region: GP1 Core","Escape Region: Mucin","No Escape Mutants","Binding","No binding","Not done","Weak binding only","sGP.binderFALSE","sGP.binderTRUE","Epitope_TierTier1","Epitope_TierTier2","Epitope_TierTier3","Epitope_TierTierUnknown"
"R3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4",NA,NA,NA,NA,NA,NA,NA,NA,0.206639191202281,NA,NA,NA,NA,NA,NA,NA,-0.345771993684618,0.345771993684618,NA,0.223724732003482,NA,-0.341055709701018,0.206639191202281,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.285851823997571,0.23893374152904,0.211131086517015,NA,NA,NA,NA,NA,-0.314524296653547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.260945173510361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212571299628583,NA,NA,NA,NA,NA,NA,NA,NA,0.22383789708146,0.22383789708146,NA,NA,NA,NA,NA,NA,NA,0.277933143493965,-0.215617095898385,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236648116414078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253594470338043,NA,NA,NA,NA,NA,NA,NA,NA,-0.227736709080652,NA,0.223886521047155,NA,0.294850755539372,-0.211510183297887,-0.211510183297887,0.213624149231348,-0.211234321136649,NA,NA,NA,0.262119445902476,NA,-0.256905309763779,0.365331364930588,0.315202025726617,0.225891733809108,NA,-0.247542611926711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.217510136168354,NA,NA,NA,NA,NA,NA,0.325202027620381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9",NA,NA,NA,NA,NA,NA,NA,0.223724732003482,NA,NA,NA,NA,NA,NA,NA,NA,0.253942339575498,-0.253942339575498,NA,NA,NA,0.214407115325921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.350468661692144,NA,0.223724732003482,NA,NA,NA,-0.310008505294369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.225469762235855,NA,NA,NA,0.306719940603673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.306740199703935,NA,NA,NA,NA,NA,0.247071197647211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249176171072446,NA
"All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.350468661692144,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDBV & RESTV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233064657860567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDBV & SUDV",NA,NA,NA,NA,NA,NA,NA,0.474842767295597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223724732003482,NA,NA,1,NA,NA,NA,-0.251461814924493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.230321164765221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.213745433385037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244245294498751,NA
"BDBV only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.263892255666,NA,NA,0.206230322417818,-0.206230322417818,-0.207805254680143,NA,NA,0.210465103564611,NA,NA,NA,NA,NA,NA,0.311099415966938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,-0.436669595355484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245329662815399,NA,-0.275053067943529,NA,NA,NA,NA,NA,NA,NA
"BDBV, SUDV, RESTV ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.223848927542357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,-0.470382814723022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marburg only",NA,NA,NA,NA,NA,NA,NA,0.233064657860567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493939393939394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"None",NA,NA,NA,NA,NA,-0.239521205830405,NA,NA,0.254773127460819,NA,NA,NA,NA,NA,NA,NA,-0.400552830443458,0.400552830443458,0.417834783626317,NA,NA,-0.385839384241646,NA,NA,NA,NA,NA,-0.216415469713484,-0.225690231053067,0.226335516707833,NA,NA,NA,NA,NA,NA,-0.310008505294369,NA,NA,-0.251461814924493,-0.436669595355484,-0.470382814723022,NA,1,NA,NA,-0.234484771591053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.280179931241985,0.346817772698926,NA,NA,NA,NA,NA,NA,-0.331940506823,NA,NA,NA,NA,0.297808771093177,0.231807988312913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232504765513096,NA,NA,NA,0.258878379795086,-0.233786375017132,NA,NA
"RESTV only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298481002897855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUDV & RESTV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601043656582205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34278069620209,NA,NA,NA,NA,NA,0.27366883846866,NA,NA,NA,NA,NA,NA
"SUDV only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.234484771591053,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polyfunctionality",0.350734435142927,NA,NA,NA,-0.228846942013173,NA,NA,NA,0.208370838598189,NA,NA,NA,NA,NA,-0.418969434403736,NA,NA,NA,NA,NA,NA,NA,-0.328218118314795,-0.22364057170583,0.410321287211561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.603860866962972,0.585865419037227,0.54812410450707,0.500116856444998,0.614259539708687,0.578933563285315,0.554790261481929,NA,0.229571569570507,NA,NA,NA,-0.257212645691068,NA,-0.230386188109637,-0.230386188109637,NA,NA,NA,0.244853190942768,NA,NA,NA,NA,NA,NA,-0.223274517248942,NA,-0.288964065513791,0.334688429698475,0.25724698109869,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214108050395898,NA,NA,NA,NA,NA,0.310583471688455,NA,NA,NA
"huADCP",0.214160107483797,NA,0.287917017544749,NA,-0.233515999732335,NA,NA,NA,0.240256214939702,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342469264259799,-0.329782917297725,NA,NA,-0.347950680712832,-0.207840095282877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253594470338043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.603860866962972,1,0.429929780059773,NA,NA,0.220504512398661,0.332316839472525,0.520461168656517,0.2142930301374,NA,NA,NA,NA,NA,NA,-0.221695080780828,-0.221695080780828,0.211797928086096,NA,NA,NA,NA,-0.320547052201577,NA,NA,NA,NA,NA,NA,-0.233029221414141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.420393881946779,NA,-0.215591389701567,NA
"mADCP",NA,NA,NA,NA,NA,NA,NA,NA,0.329390981370538,NA,NA,NA,NA,-0.229210569842578,-0.386146299694645,NA,NA,NA,0.369532320705637,NA,NA,NA,-0.386011033917391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585865419037227,0.429929780059773,1,NA,NA,NA,0.338254258850186,0.561076301817494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.297492424723,0.307083038365662,NA,NA,NA,-0.210998049967475,NA,NA,NA,NA,NA,NA,NA,-0.246352179420558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.336259671286258,-0.300602468823869,NA,NA
"CD107a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.209449918692679,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.386014266402253,NA,-0.231412638933195,NA,-0.303231178508566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54812410450707,NA,NA,1,0.737825317676098,0.785463797992816,0.345408575726123,0.251950832708359,NA,NA,NA,NA,NA,-0.263326022054226,NA,NA,NA,NA,-0.248000211288991,NA,0.262309406620652,NA,NA,NA,NA,NA,NA,NA,NA,-0.286959731359213,0.279867364624274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IFNg",0.22693221000949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381479690307966,NA,NA,NA,-0.348897654659334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.500116856444998,NA,NA,0.737825317676098,1,0.783005231233605,0.324794356783437,NA,NA,NA,NA,NA,NA,-0.273183412250516,NA,NA,NA,NA,NA,NA,0.218262585235042,-0.235680437163675,NA,NA,NA,NA,NA,NA,NA,-0.260858671547772,0.305312548555078,0.211726848215826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIP.1b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.373772953444641,NA,NA,NA,-0.37230628879069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.614259539708687,0.220504512398661,NA,0.785463797992816,0.783005231233605,1,0.451291902030232,NA,NA,NA,NA,NA,NA,-0.262553699423737,NA,NA,NA,NA,-0.210340051927827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.304532029541514,0.305730221582436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"huADNP",NA,NA,NA,NA,NA,NA,NA,NA,0.262252338122254,NA,NA,NA,NA,NA,-0.220687562815718,-0.265218925411068,NA,NA,NA,NA,NA,NA,NA,NA,0.320976968175888,-0.235854947414106,NA,NA,-0.282812851073532,NA,NA,NA,NA,0.212571299628583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.578933563285315,0.332316839472525,0.338254258850186,0.345408575726123,0.324794356783437,0.451291902030232,1,0.267512875105548,0.258591436077135,0.317039580272202,NA,NA,NA,-0.258052713359421,NA,NA,NA,NA,NA,NA,0.226598540966367,NA,NA,NA,NA,NA,NA,NA,NA,-0.266606544706964,0.214997840496516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.209595272637559,NA,NA,NA,NA,0.317216658069594,NA,NA,NA
"mADNP",NA,NA,NA,NA,-0.237098603458642,NA,NA,NA,0.290752183052382,NA,NA,NA,NA,NA,-0.289249543829418,NA,NA,NA,0.326014575431084,NA,NA,NA,-0.219211843275019,-0.285318369311696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.554790261481929,0.520461168656517,0.561076301817494,0.251950832708359,NA,NA,0.267512875105548,1,NA,NA,-0.307437520371596,0.323955973453785,NA,NA,NA,NA,NA,NA,-0.26499976810459,NA,NA,NA,NA,0.392857879033048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266637028804932,-0.215759697793675,NA,NA
"sGP_huADCP",NA,-0.240235549844858,0.538611324687871,NA,NA,0.284042190961951,NA,-0.223923354632853,-0.269901669404082,-0.267924341875621,NA,NA,NA,NA,NA,-0.754511498186568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.251532066082389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2142930301374,NA,NA,NA,NA,0.258591436077135,NA,1,0.523812713899925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.243251147263345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.756063088875657,0.756063088875657,0.338151604920652,NA,-0.24276626453706,-0.267924341875621
"sGP_huADNP",NA,NA,0.234080479535286,NA,NA,0.231179229943312,0.24427306365684,NA,NA,NA,NA,NA,NA,0.208448500013242,NA,-0.585732331013646,0.309836235349411,-0.309836235349411,-0.273971881738416,NA,NA,0.303473782587272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229571569570507,NA,NA,NA,NA,NA,0.317039580272202,NA,0.523812713899925,1,0.270284058628462,-0.252507847390397,-0.213362595117483,NA,0.232905761314755,NA,NA,NA,0.214518069805672,NA,NA,NA,NA,-0.269662798307679,NA,NA,NA,NA,NA,NA,NA,0.212734076295976,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238397555590318,NA,NA,NA,-0.488493828167746,0.488493828167746,NA,NA,-0.277841201246174,NA
"Total_G0",0.345560024922294,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283445776227881,0.29608676843324,0.214436889436291,0.266543756308924,NA,NA,0.512455007451106,-0.512455007451106,-0.339174359863929,-0.286156782976058,NA,0.498481971872468,NA,NA,NA,NA,NA,NA,0.415744978063337,NA,NA,-0.285851823997571,NA,NA,-0.227736709080652,NA,NA,NA,NA,NA,NA,NA,NA,-0.280179931241985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.307437520371596,NA,0.270284058628462,1,-0.910218760407267,-0.677409214617108,-0.25265152761865,NA,NA,NA,NA,0.794185358916318,NA,NA,NA,-0.309882344615884,-0.79246289356209,NA,NA,-0.813075310714115,NA,0.279119419845901,NA,0.21397905650279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346586147547745,NA,-0.343660301993148,NA,NA,NA,NA,NA,NA,NA
"Total_G1",-0.260465037807982,NA,NA,NA,NA,NA,NA,NA,0.211751345166775,NA,-0.256787495095729,-0.267507357752177,NA,-0.246971616935598,NA,NA,-0.557805772993128,0.557805772993128,0.442661136903556,0.214035829882831,NA,-0.543970952408462,NA,NA,NA,NA,NA,NA,-0.401408685768787,NA,NA,0.23893374152904,NA,NA,NA,NA,NA,NA,NA,-0.230321164765221,NA,NA,NA,0.346817772698926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.323955973453785,NA,-0.252507847390397,-0.910218760407267,1,0.367467434841914,0.307587953713166,NA,-0.241381687059308,-0.241381687059308,NA,-0.693082508872887,NA,NA,NA,0.295365417528965,0.888488798508771,NA,NA,0.67392585655497,NA,-0.355337136314721,NA,-0.258532841948107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.296968794936967,NA,0.283463958087352,NA,NA,NA,NA,NA,NA,NA
"Total_G2",-0.359050948544843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.217913489938006,-0.235904675102945,NA,NA,NA,-0.253814348910944,0.253814348910944,NA,0.247188755659332,NA,-0.253676369143514,NA,NA,-0.270284933745297,NA,NA,NA,-0.249143370612157,NA,NA,0.211131086517015,NA,NA,0.223886521047155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.213362595117483,-0.677409214617108,0.367467434841914,1,NA,NA,0.396675635478866,0.396675635478866,NA,-0.536132871002409,NA,NA,NA,NA,0.270954501447149,NA,NA,0.659498498795694,NA,NA,0.433610236501856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.313704374670339,NA,0.334763594813038,NA,NA,NA,NA,NA,NA,NA
"Total_Fucose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.343631518793318,0.343631518793318,0.223277852476662,NA,NA,-0.324258419388063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.225469762235855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.257212645691068,NA,NA,-0.263326022054226,-0.273183412250516,-0.262553699423737,-0.258052713359421,NA,NA,NA,-0.25265152761865,0.307587953713166,NA,1,-0.373347547975653,NA,NA,-0.42745412860491,NA,NA,-0.35538199458504,-0.226155804156829,NA,0.283657293060111,NA,NA,NA,NA,-0.685347810866594,0.247915150188598,-0.566590241528706,-0.254651092752064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Total_Bisecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.410705300436615,-0.410705300436615,-0.235241230394057,-0.267257076592524,NA,0.42816192885332,NA,0.295006338726082,0.208119363002857,NA,NA,NA,NA,-0.297384581176183,NA,NA,NA,NA,0.294850755539372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232905761314755,NA,NA,NA,-0.373347547975653,1,NA,NA,NA,NA,0.704403719336711,0.284603672126087,NA,0.22109922842025,NA,NA,0.535671288962661,NA,0.415115702059264,0.440176677449135,-0.229835338193783,0.413536739672809,0.659949612995598,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209187068478848,NA,-0.243150667587069,NA,NA,NA,NA,NA,NA,NA
"Total_mono_SA",-0.220455339646881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.318729856096719,0.318729856096719,NA,NA,NA,-0.325776246589918,0.315620365927526,NA,-0.379318294323808,NA,NA,NA,NA,NA,NA,NA,NA,0.22383789708146,-0.211510183297887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.230386188109637,-0.221695080780828,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.241381687059308,0.396675635478866,NA,NA,1,1,NA,NA,NA,NA,0.290678019439458,-0.268838648628977,-0.349268689234504,0.513566651134452,NA,-0.295680791335546,NA,NA,0.823174137141886,NA,-0.258625957778033,NA,NA,NA,0.215012764052234,NA,NA,NA,NA,NA,-0.218287275415745,NA,0.265531779676344,NA,NA,NA,NA,NA,NA,NA
"Total_SA",-0.220455339646881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.318729856096719,0.318729856096719,NA,NA,NA,-0.325776246589918,0.315620365927526,NA,-0.379318294323808,NA,NA,NA,NA,NA,NA,NA,NA,0.22383789708146,-0.211510183297887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.230386188109637,-0.221695080780828,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.241381687059308,0.396675635478866,NA,NA,1,1,NA,NA,NA,NA,0.290678019439458,-0.268838648628977,-0.349268689234504,0.513566651134452,NA,-0.295680791335546,NA,NA,0.823174137141886,NA,-0.258625957778033,NA,NA,NA,0.215012764052234,NA,NA,NA,NA,NA,-0.218287275415745,NA,0.265531779676344,NA,NA,NA,NA,NA,NA,NA
"G0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.220456352162036,NA,-0.536763292220609,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.213624149231348,NA,0.306719940603673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211797928086096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42745412860491,NA,NA,NA,1,NA,NA,-0.323854856483731,NA,-0.362913779085794,NA,NA,0.372691926924796,NA,NA,0.388217539536492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.307031972395555,NA,0.297596684992874,NA,NA,NA,NA,NA,NA,NA
