"","Protection","Base","Cap","Fusion","GP1/2","GP1/Core","GP1/Head","HR2","Mucin","Unknown","Neut_VSV","unNeutFrac","Neut_micro","Neut_dVP30","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","IgG3","HumanIgG1","MouseIgG1","P1","P2","R1","R10","R11","R12","R2","R3","R4","R5","R6","R7","R8","R9","All","BDBV & RESTV","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","Marburg only","None","RESTV only","SUDV & RESTV","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_mono_SA","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","Escape Region: 10","Escape Region: 28","Escape Region: 48","Escape Region: Base","Escape Region: Cap","Escape Region: Fusion Loop","Escape Region: GP1 Core","Escape Region: Mucin","No Escape Mutants","Binding","No binding","Not done","Weak binding only","sGP.binderFALSE","sGP.binderTRUE","Epitope_TierTier1","Epitope_TierTier2","Epitope_TierTier3","Epitope_TierTierUnknown"
"Neut_VSV",0.666293792703862,0.445559372813807,NA,0.343593199959996,-0.2090476051981,NA,NA,0.316257990698325,-0.254907858685437,NA,1,0.971974395564802,0.781494288843772,0.857491547936695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454866666026862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283445776227881,-0.256787495095729,NA,NA,NA,NA,NA,NA,0.214970518906471,NA,NA,NA,NA,-0.2744259652064,NA,NA,-0.260298935358138,NA,NA,NA,NA,NA,NA,NA,NA,0.27707491968463,NA,NA,NA,NA,-0.470923639461275,0.269330757574793,NA,-0.320734055257146,NA,NA,NA,-0.214753829951549,0.319594022860259,NA,NA
"unNeutFrac",0.67985059992737,0.381125815813786,NA,0.339591662908235,-0.211795543885377,NA,0.231201668130303,0.279663722395017,-0.258258632141602,NA,0.971974395564802,1,0.795492950510534,0.905623425374233,NA,NA,NA,NA,-0.215369746609325,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494178221077434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29608676843324,-0.267507357752177,-0.217913489938006,NA,NA,NA,NA,NA,0.252668195534165,NA,NA,NA,NA,-0.286763907077065,NA,NA,-0.265477753370569,NA,NA,NA,NA,NA,NA,NA,NA,0.2732026206446,NA,NA,NA,NA,-0.484554804642729,0.328933043985004,NA,-0.376216868118319,NA,NA,NA,NA,0.313239767377588,NA,NA
"Neut_micro",0.653696855679154,0.326251926066128,NA,0.240066893750318,-0.221678159261412,NA,0.210679770457045,0.256327582366411,NA,-0.307294147362776,0.781494288843772,0.795492950510534,1,0.722738169225376,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.207569995555372,NA,NA,NA,NA,0.444745786463805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214436889436291,NA,-0.235904675102945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.257339145186507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.357272606873525,0.34339908202471,NA,-0.378352466695145,NA,NA,NA,NA,0.224479117897285,NA,-0.307294147362776
"Neut_dVP30",0.612707995807886,0.346438912631186,NA,0.35346937072682,NA,NA,0.237637709833478,NA,-0.220494608276937,NA,0.857491547936695,0.905623425374233,0.722738169225376,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564195550928247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.263892255666,NA,NA,NA,NA,NA,NA,NA,NA,-0.229210569842578,NA,NA,NA,NA,NA,NA,0.208448500013242,0.266543756308924,-0.246971616935598,NA,NA,NA,NA,NA,NA,0.253994684546212,NA,NA,NA,NA,-0.266031760812125,NA,NA,-0.254029990023924,NA,NA,NA,NA,NA,NA,0.226979057611521,NA,0.307589874654135,NA,NA,NA,NA,-0.534806181519131,0.342938840875096,NA,-0.386026222342722,NA,NA,NA,NA,0.313243922874869,NA,NA
"GP_EC50",NA,NA,NA,NA,NA,NA,NA,NA,-0.238541087636677,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.250209897857878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.418969434403736,NA,-0.386146299694645,-0.209449918692679,NA,NA,-0.220687562815718,-0.289249543829418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233607040183244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sGP_EC50",NA,0.273488151154376,-0.527821044751599,NA,0.273488151154376,-0.436951371461529,-0.270780868380861,NA,0.315575794046872,0.332601319980105,NA,NA,NA,NA,NA,1,-0.322227143877174,0.322227143877174,NA,NA,NA,-0.332453947409803,NA,NA,-0.333691038584461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.265218925411068,NA,-0.754511498186568,-0.585732331013646,NA,NA,NA,NA,NA,NA,NA,NA,-0.20824639669874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.312639393743012,NA,0.239078415012017,NA,0.929319225098934,-0.929319225098934,-0.362960206812216,NA,0.352166103508346,0.332601319980105
"human",0.324666981542352,NA,NA,NA,NA,0.206846630508827,NA,NA,-0.305400941610826,NA,NA,NA,NA,NA,NA,-0.322227143877174,1,-1,-0.659960442411351,-0.277482213633904,NA,0.987583623162256,-0.456294306252861,NA,0.298172516957315,-0.380847623931843,NA,NA,0.253942339575498,-0.330007694126801,NA,-0.345771993684618,NA,NA,NA,NA,0.253942339575498,NA,NA,NA,0.206230322417818,NA,NA,-0.400552830443458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.309836235349411,0.512455007451106,-0.557805772993128,-0.253814348910944,-0.343631518793318,0.410705300436615,-0.318729856096719,-0.318729856096719,NA,0.388597393986817,0.211520268947984,NA,-0.235159861884285,NA,-0.42543729076883,-0.484533753796703,0.519290844451446,NA,NA,0.449244764406451,-0.398255835715679,0.284850515463331,0.401236324243108,NA,NA,NA,-0.217328265555479,NA,NA,NA,NA,NA,0.417259417340632,NA,-0.443589327799652,NA,-0.226221138880338,0.226221138880338,NA,NA,NA,NA
"mouse",-0.324666981542352,NA,NA,NA,NA,-0.206846630508827,NA,NA,0.305400941610826,NA,NA,NA,NA,NA,NA,0.322227143877174,-1,1,0.659960442411351,0.277482213633904,NA,-0.987583623162256,0.456294306252861,NA,-0.298172516957315,0.380847623931843,NA,NA,-0.253942339575498,0.330007694126801,NA,0.345771993684618,NA,NA,NA,NA,-0.253942339575498,NA,NA,NA,-0.206230322417818,NA,NA,0.400552830443458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.309836235349411,-0.512455007451106,0.557805772993128,0.253814348910944,0.343631518793318,-0.410705300436615,0.318729856096719,0.318729856096719,NA,-0.388597393986817,-0.211520268947984,NA,0.235159861884285,NA,0.42543729076883,0.484533753796703,-0.519290844451446,NA,NA,-0.449244764406451,0.398255835715679,-0.284850515463331,-0.401236324243108,NA,NA,NA,0.217328265555479,NA,NA,NA,NA,NA,-0.417259417340632,NA,0.443589327799652,NA,0.226221138880338,-0.226221138880338,NA,NA,NA,NA
"IgG2a",NA,NA,NA,NA,NA,-0.223103581101263,NA,NA,0.291716117064923,NA,NA,-0.215369746609325,NA,NA,NA,NA,-0.659960442411351,0.659960442411351,1,NA,NA,-0.651766124860367,NA,NA,NA,0.380533968568737,NA,NA,NA,0.306869664886927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.207805254680143,-0.223848927542357,NA,0.417834783626317,NA,NA,NA,NA,0.342469264259799,0.369532320705637,NA,NA,NA,NA,0.326014575431084,NA,-0.273971881738416,-0.339174359863929,0.442661136903556,NA,0.223277852476662,-0.235241230394057,NA,NA,NA,-0.261858496137536,NA,NA,NA,-0.500091956465509,0.539569077135482,NA,-0.259367309855984,NA,NA,-0.259047122361119,NA,NA,-0.214933941080382,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.260399920832663,NA,0.296663585013925,NA,NA,NA,0.284407292833184,-0.214669860903887,NA,NA
"IgG2b",-0.215750027677699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.277482213633904,0.277482213633904,NA,1,NA,-0.274036889903654,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223724732003482,NA,NA,NA,NA,NA,NA,0.233064657860567,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.329782917297725,NA,NA,NA,NA,NA,NA,NA,NA,-0.286156782976058,0.214035829882831,0.247188755659332,NA,-0.267257076592524,NA,NA,NA,-0.253004798700656,-0.294020767398454,NA,NA,NA,0.241954014389593,NA,NA,0.26812761546271,NA,NA,NA,NA,NA,0.233064657860567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
