"","Protection","Base","Cap","Fusion","GP1/2","GP1/Core","GP1/Head","HR2","Mucin","Unknown","Neut_VSV","unNeutFrac","Neut_micro","Neut_dVP30","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","IgG3","HumanIgG1","MouseIgG1","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","Marburg only","None","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","sGP.binderTRUE"
"mADCP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.625216525210029,NA,NA,NA,NA,NA,NA,0.731277221977929,NA,1,NA,NA,NA,NA,0.568661779188095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD107a",0.521185264667451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696906009213571,-0.696906009213571,NA,NA,NA,0.607147738971847,NA,NA,NA,NA,NA,NA,NA,0.742534499743478,NA,NA,1,0.726854896013461,0.803260750629172,0.573913994966626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.474934351349847,NA,NA
"IFNg",0.627870060342791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487887594598108,-0.487887594598108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.697135841486227,NA,NA,0.726854896013461,1,0.842197422420897,0.498467939075778,NA,NA,NA,0.500875468089975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.479036683621172,NA,NA
"MIP.1b",0.668553372048061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.562331055710261,-0.562331055710261,NA,NA,NA,0.472759306630253,NA,NA,NA,NA,NA,NA,NA,0.745878245614433,NA,NA,0.803260750629172,0.842197422420897,1,0.554437028121239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"huADNP",0.503562770511324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55907430962373,NA,NA,0.573913994966626,0.498467939075778,0.554437028121239,1,NA,NA,0.59601706970128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mADNP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.500857163150207,-0.695590327169274,NA,NA,NA,NA,NA,NA,NA,-0.473848313843391,NA,NA,NA,NA,NA,NA,0.486960857006793,NA,0.568661779188095,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sGP_huADCP",NA,NA,0.573545838582087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.808937458131967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.564284932705985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.818329561222924
"sGP_huADNP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.559214862251148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59601706970128,NA,0.564284932705985,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Total_G0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.500875468089975,NA,NA,NA,NA,NA,1,-0.862129335813546,-0.647007331217857,NA,NA,NA,NA,0.79122442280337,NA,NA,NA,NA,-0.647445015866068,NA,NA,-0.778136456819353,NA,NA,NA,NA,NA,NA
"Total_G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.862129335813546,1,NA,NA,NA,NA,NA,-0.589889484626327,NA,NA,NA,NA,0.841776999671736,NA,NA,0.701865733938874,NA,NA,NA,NA,NA,NA
