"","Protection","Cap","Fusion","GP1/2","GP1/Core","GP1/Head","Mucin","Unknown","Neut_micro","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","IgG3","HumanIgG1","MouseIgG1","P1","P2","R1","R10","R11","R2","R3","R4","R5","R6","R7","R8","R9","All","BDBV & RESTV","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","None","RESTV only","SUDV & RESTV","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_mono_SA","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","Binding","No binding","Not done","Weak binding only","sGP.binderFALSE","sGP.binderTRUE","Epitope_TierTier1","Epitope_TierTier2","Epitope_TierTier3","Epitope_TierTierUnknown"
"Protection",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.299248429669071,0.334681616622994,NA,NA,0.31386012876084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.303877426190361,-0.303877426190361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.343086520208794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cap",NA,1,NA,NA,-0.294883912309794,NA,NA,NA,NA,NA,-0.569150540064069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366237399100622,NA,NA,NA,NA,NA,NA,0.544210075117716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.571428571428571,0.571428571428571,0.625281891317046,-0.30403449605253,NA,NA
"Fusion",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.339364905854808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GP1/2",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.339460634653367,NA,NA,NA,NA,NA,NA,NA,0.327919206917167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.306375616436879,NA,NA,NA,NA,NA,NA,-0.334277224891386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349049341838621,-0.349049341838621,-0.318986955379126,NA,1,NA
"GP1/Core",NA,-0.294883912309794,NA,NA,1,NA,NA,NA,NA,NA,-0.502413713919986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.348361343703916,NA,NA,NA,NA,-0.30386941837853,0.29577849937125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.589767824619589,0.589767824619589,-0.471601555082098,0.969902810827246,NA,NA
"GP1/Head",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365001814019547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mucin",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.411420637352844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.317372370560967,NA,NA,NA,0.398992847454436,0.377519050421485,0.372054146481527,NA,NA,NA,0.472589514948543,0.326163347469792,-0.382980846818723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.376503863998505,NA,-0.342779267814452,NA,NA,NA,NA,NA,NA,NA,NA,0.451405719157025,-0.451405719157025,0.564511643651673,NA,NA,NA
"Unknown",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.438515984142187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.352658224979499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483895577141871,-0.483895577141871,-0.442219360909941,-0.294241895876754,NA,1
"Neut_micro",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.311142462961297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357650205332835,NA,NA,NA,NA,NA,0.390976462248288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311349435952296,NA,NA,NA
"GP_EC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.493027902225591,NA,-0.452534263986511,NA,NA,-0.296540261250825,-0.432428882248452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sGP_EC50",NA,-0.569150540064069,NA,0.339460634653367,-0.502413713919986,NA,0.411420637352844,0.438515984142187,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.358036824399536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.750172990670349,-0.439361685879132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9246393887125,-0.9246393887125,NA,-0.470938349144765,0.339460634653367,0.438515984142187
"human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,-0.644658371220304,NA,NA,1,-0.398913533529853,0.311804782231162,NA,-0.312550837879944,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330718913883074,NA,NA,NA,NA,NA,-0.388449298033678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.390070263555204,NA,0.34549080486318,0.516950261370962,-0.588960809082972,NA,-0.431654511561152,0.420507778524778,-0.307768457730403,-0.307768457730403,0.369183498157045,0.414504942117387,NA,NA,NA,NA,-0.490372027358748,-0.451831002282505,0.67183069007172,NA,0.297678249582015,0.511033319109717,-0.390076685469142,NA,0.37131824564906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mouse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,0.644658371220304,NA,NA,-1,0.398913533529853,-0.311804782231162,NA,0.312550837879944,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.330718913883074,NA,NA,NA,NA,NA,0.388449298033678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.390070263555204,NA,-0.34549080486318,-0.516950261370962,0.588960809082972,NA,0.431654511561152,-0.420507778524778,0.307768457730403,0.307768457730403,-0.369183498157045,-0.414504942117387,NA,NA,NA,NA,0.490372027358748,0.451831002282505,-0.67183069007172,NA,-0.297678249582015,-0.511033319109717,0.390076685469142,NA,-0.37131824564906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IgG2a",NA,NA,NA,NA,NA,NA,NA,NA,0.311142462961297,NA,NA,-0.644658371220304,0.644658371220304,1,NA,NA,-0.644658371220304,NA,NA,NA,NA,NA,NA,0.301511344577764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.438229910601107,NA,NA,NA,NA,0.378643833805718,0.468104371126536,NA,NA,NA,NA,0.489383856719523,NA,-0.307073862664918,-0.339473782032713,0.490349000332962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.532424746922642,0.576426043783916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349315145726934,NA,NA,NA
"IgG2b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.380639993447276,NA,NA,-0.297494401473347,NA,NA,NA,NA,NA,-0.389212966272665,NA,0.377212356838988,NA,-0.383215039756525,NA,NA,NA,-0.358351738997038,-0.332658729677504,NA,NA,NA,NA,NA,-0.302688236879792,0.39264215540282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IgG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365001814019547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanIgG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,-0.644658371220304,NA,NA,1,-0.398913533529853,0.311804782231162,NA,-0.312550837879944,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330718913883074,NA,NA,NA,NA,NA,-0.388449298033678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.390070263555204,NA,0.34549080486318,0.516950261370962,-0.588960809082972,NA,-0.431654511561152,0.420507778524778,-0.307768457730403,-0.307768457730403,0.369183498157045,0.414504942117387,NA,NA,NA,NA,-0.490372027358748,-0.451831002282505,0.67183069007172,NA,0.297678249582015,0.511033319109717,-0.390076685469142,NA,0.37131824564906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MouseIgG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.398913533529853,0.398913533529853,NA,NA,NA,-0.398913533529853,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.327748372842726,-0.336234496645539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.299022654539127,NA,0.494925689791947,-0.361772859821656,NA,NA,-0.299070664104918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1",NA,NA,NA,0.327919206917167,NA,NA,NA,NA,NA,NA,NA,0.311804782231162,-0.311804782231162,NA,NA,NA,0.311804782231162,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.387064000324668,NA,NA,NA,NA,NA,NA,0.388492848324231,NA,NA,NA,NA,0.37212530723719,NA,NA,NA,NA,NA,0.43562575945737,NA,0.349514512008285,NA,NA,NA,NA,0.506172839506173,NA,-0.440994795509293,NA,NA,NA,NA,NA,0.327919206917167,NA
"P2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.570826327904743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.296731386908927,NA,NA,0.296744830396844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557086014531156,NA,-0.497643349017463,NA,NA,NA,NA,NA,NA,NA
"R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.312550837879944,0.312550837879944,NA,NA,NA,-0.312550837879944,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.344921197658645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30842160002281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.358036824399536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.345436539600971,NA,NA,NA,NA,NA,0.297812507569561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811844140885989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.703123049310652,NA,NA,NA,NA,NA,NA
"R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301511344577764,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.352849850337251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5",NA,NA,0.339364905854808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293836347785171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6",NA,NA,NA,NA,NA,0.365001814019547,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365001814019547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.303481091177888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307149587013018,NA,0.295947780627732,NA,NA,NA,NA,NA,NA,NA,0.297813733304416,NA,NA,0.372575709500079,0.366897540673472,NA,NA,-0.299684604396654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.3262259819118,-0.298807152333598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.396614889769051,NA,NA,NA,NA,NA,NA,NA,NA
"R9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330718913883074,-0.330718913883074,NA,NA,NA,0.330718913883074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.426401432711221,NA,NA,NA,NA,-0.395284707521047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.426401432711221,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDBV & RESTV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDBV & SUDV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDBV only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,-0.349215147884789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.327629555317146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDBV, SUDV, RESTV ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3262259819118,NA,NA,NA,NA,NA,1,-0.539533029953643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"None",NA,NA,NA,NA,NA,NA,0.317372370560967,NA,NA,NA,NA,-0.388449298033678,0.388449298033678,0.438229910601107,NA,NA,-0.388449298033678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.298807152333598,-0.395284707521047,NA,NA,NA,-0.349215147884789,-0.539533029953643,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.320619385716828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311876909176894,NA,NA,NA
"RESTV only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.570826327904743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.317999364001908,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUDV & RESTV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811844140885989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.308664862048806,0.570826327904743,NA,NA,NA,NA,NA,NA
"SUDV only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polyfunctionality",0.299248429669071,NA,NA,-0.306375616436879,NA,NA,0.398992847454436,NA,NA,-0.493027902225591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.717123994742974,0.655245989694687,0.431954123535586,0.305672673958241,0.554342885786309,0.633558236927724,0.619033174398863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478473110395395,-0.302243867596987,-0.306375616436879,NA
"huADCP",0.334681616622994,0.366237399100622,NA,NA,NA,NA,0.377519050421485,NA,0.357650205332835,NA,NA,NA,NA,0.378643833805718,-0.380639993447276,NA,NA,-0.327748372842726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.717123994742974,1,0.529022220946247,NA,NA,0.294396312248483,0.464200457743882,0.589592045042968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.313170101292128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.591430809490707,-0.321450004780214,NA,NA
"mADCP",NA,NA,NA,NA,-0.348361343703916,NA,0.372054146481527,NA,NA,-0.452534263986511,NA,NA,NA,0.468104371126536,NA,NA,NA,-0.336234496645539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.655245989694687,0.529022220946247,1,NA,NA,NA,0.434391784916957,0.594676687154426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.445293207351032,0.346997571716673,NA,NA,NA,-0.312533788624911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441622944963257,-0.37518932826327,NA,NA
"CD107a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.345436539600971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.431954123535586,NA,NA,1,0.532961514733021,0.653296674035371,NA,0.331729502978646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IFNg",0.31386012876084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.297494401473347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305672673958241,NA,NA,0.532961514733021,1,0.520009878588375,NA,NA,NA,NA,NA,-0.322622335786438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.330738931598987,NA,NA,NA,NA,NA,NA,NA,NA,0.327913017871569,NA,-0.317315269795026,NA,NA,NA,NA,NA,NA,NA
"MIP.1b",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.296540261250825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.554342885786309,0.294396312248483,NA,0.653296674035371,0.520009878588375,1,0.416675927415748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.352852754893503,NA,-0.33101688605874,NA,NA,NA,NA,NA,NA,NA
