"","Protection","Cap","Fusion","GP1/2","GP1/Core","GP1/Head","Mucin","Unknown","Neut_micro","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","IgG3","HumanIgG1","MouseIgG1","P1","P2","R1","R10","R11","R2","R3","R4","R5","R6","R7","R8","R9","All","BDBV & RESTV","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","None","RESTV only","SUDV & RESTV","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_mono_SA","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","Binding","No binding","Not done","Weak binding only","sGP.binderFALSE","sGP.binderTRUE","Epitope_TierTier1","Epitope_TierTier2","Epitope_TierTier3","Epitope_TierTierUnknown"
"G0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.369183498157045,-0.369183498157045,NA,NA,NA,0.369183498157045,NA,NA,-0.296731386908927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.566685082787387,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.381191810988104,NA,NA,0.511861188311896,-0.407115261278307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G0F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414504942117387,-0.414504942117387,NA,-0.358351738997038,NA,0.414504942117387,NA,NA,NA,NA,NA,NA,NA,NA,-0.352849850337251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.396218416496131,NA,NA,0.838072660080277,-0.718489677677366,-0.52500761423409,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-0.658432386180155,NA,NA,-0.67030502085213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G0FB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.332658729677504,NA,NA,NA,0.37212530723719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748610804455249,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.382275690652929,NA,NA,NA,NA,NA,0.294787079791235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296744830396844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.314842511571288,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.320899027194368,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G1F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.532424746922642,NA,NA,NA,0.299022654539127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297813733304416,NA,NA,NA,NA,NA,0.327629555317146,NA,-0.320619385716828,NA,NA,NA,NA,-0.313170101292128,-0.445293207351032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.488086859536498,0.376871423063907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.347672690109399,NA,NA,NA
"G1F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.490372027358748,0.490372027358748,0.576426043783916,NA,NA,-0.490372027358748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346997571716673,NA,-0.330738931598987,NA,NA,0.500302507731561,NA,-0.382756647970678,-0.801312101550605,0.90023459686381,NA,0.398384959266389,NA,-0.374408363172408,-0.374408363172408,NA,-0.658432386180155,NA,NA,NA,NA,1,NA,NA,0.550769851302567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G1S1F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.451831002282505,0.451831002282505,NA,NA,NA,-0.451831002282505,0.494925689791947,NA,NA,NA,NA,NA,NA,NA,NA,0.293836347785171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619164439224965,0.619164439224965,NA,NA,NA,NA,NA,NA,NA,1,-0.477894108025824,NA,NA,NA,0.409936406140601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G1FB",NA,NA,NA,NA,NA,NA,-0.376503863998505,NA,NA,NA,NA,0.67183069007172,-0.67183069007172,NA,-0.302688236879792,NA,0.67183069007172,-0.361772859821656,0.43562575945737,NA,NA,NA,NA,NA,NA,NA,NA,-0.303481091177888,0.372575709500079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.643107094838785,-0.294773161334059,-0.294773161334059,0.381191810988104,NA,0.382275690652929,NA,NA,NA,NA,-0.477894108025824,1,NA,0.440434552008517,0.466538756478742,NA,NA,0.430946235248079,NA,NA,NA,NA,NA,NA,-0.356836974163123,NA,NA,NA
"G2F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39264215540282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366897540673472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.789988805110138,0.587556437245941,0.706762646785178,0.339530385060764,NA,-0.329581139983612,-0.329581139983612,NA,-0.67030502085213,NA,NA,NA,0.488086859536498,0.550769851302567,NA,NA,1,NA,NA,NA,-0.295924721282257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G2FB",NA,NA,NA,NA,NA,NA,-0.342779267814452,NA,NA,NA,NA,0.297678249582015,-0.297678249582015,NA,NA,NA,0.297678249582015,NA,0.349514512008285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.312533788624911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465466355561104,NA,NA,NA,NA,NA,NA,NA,0.376871423063907,NA,NA,0.440434552008517,NA,1,NA,NA,NA,0.344191473141024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G2S1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511033319109717,-0.511033319109717,NA,NA,NA,0.511033319109717,-0.299070664104918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341154585405863,-0.40308074126433,NA,-0.708897816188088,0.486213914710964,NA,NA,0.511861188311896,NA,NA,NA,NA,NA,NA,NA,0.466538756478742,NA,NA,1,NA,0.482111316340278,0.339104908118479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G2S1F",-0.343086520208794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.390076685469142,0.390076685469142,NA,NA,NA,-0.390076685469142,NA,NA,NA,0.30842160002281,NA,NA,NA,NA,NA,NA,NA,-0.299684604396654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427991093326667,NA,NA,0.832309180510857,0.832309180510857,-0.407115261278307,NA,NA,NA,NA,NA,NA,0.409936406140601,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G2S1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.319464983052292,-0.325083172425567,NA,-0.589547157945337,0.416494799950435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.295924721282257,NA,0.482111316340278,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G2S1FB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37131824564906,-0.37131824564906,NA,NA,NA,0.37131824564906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5989790068561,NA,NA,NA,NA,0.294787079791235,NA,NA,NA,NA,NA,0.430946235248079,NA,0.344191473141024,0.339104908118479,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Binding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506172839506173,0.557086014531156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.317999364001908,NA,NA,NA,NA,NA,NA,0.327913017871569,0.352852754893503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,-0.893297149877798,NA,NA,NA,NA,NA,NA,NA
"No binding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.396614889769051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Not done",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.440994795509293,-0.497643349017463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.308664862048806,NA,NA,NA,NA,NA,-0.317315269795026,-0.33101688605874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.893297149877798,NA,1,NA,NA,NA,NA,NA,NA,NA
"Weak binding only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.703123049310652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.570826327904743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"sGP.binderFALSE",NA,-0.571428571428571,NA,0.349049341838621,-0.589767824619589,NA,0.451405719157025,0.483895577141871,NA,NA,0.9246393887125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.720126753463896,-0.362636750513959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,NA,-0.556244930277924,0.349049341838621,0.483895577141871
"sGP.binderTRUE",NA,0.571428571428571,NA,-0.349049341838621,0.589767824619589,NA,-0.451405719157025,-0.483895577141871,NA,NA,-0.9246393887125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.720126753463896,0.362636750513959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,NA,0.556244930277924,-0.349049341838621,-0.483895577141871
"Epitope_TierTier1",NA,0.625281891317046,NA,-0.318986955379126,-0.471601555082098,NA,0.564511643651673,-0.442219360909941,0.311349435952296,NA,NA,NA,NA,0.349315145726934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311876909176894,NA,NA,NA,0.478473110395395,0.591430809490707,0.441622944963257,NA,NA,NA,0.363696968565119,0.400060079040566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.347672690109399,NA,NA,-0.356836974163123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.486235888603994,-0.318986955379126,-0.442219360909941
"Epitope_TierTier2",NA,-0.30403449605253,NA,NA,0.969902810827246,NA,NA,-0.294241895876754,NA,NA,-0.470938349144765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.302243867596987,-0.321450004780214,-0.37518932826327,NA,NA,NA,NA,-0.298560375956855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.556244930277924,0.556244930277924,-0.486235888603994,1,NA,-0.294241895876754
"Epitope_TierTier3",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.339460634653367,NA,NA,NA,NA,NA,NA,NA,0.327919206917167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.306375616436879,NA,NA,NA,NA,NA,NA,-0.334277224891386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349049341838621,-0.349049341838621,-0.318986955379126,NA,1,NA
"Epitope_TierTierUnknown",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.438515984142187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.352658224979499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483895577141871,-0.483895577141871,-0.442219360909941,-0.294241895876754,NA,1
